,0
137,Foundation and Empire (Foundation #2)
138,"The Maze Runner (The Maze Runner, #1)"
139,"Xenocide (Ender's Saga, #3)"
140,"Cinder (The Lunar Chronicles, #1)"
141,"Red Rising (Red Rising, #1)"
142,"The Forever War (The Forever War, #1)"
143,Artemis (Hardcover)
144,"I, Robot (Robot, #0.1)"
145,The Time Machine (Paperback)
146,"Old Man's War (Old Man's War, #1)"
147,"Scarlet (The Lunar Chronicles, #2)"
148,"Ready Player One (Ready Player One, #1)"
149,The Left Hand of Darkness (Hainish Cycle #4)
150,Do Androids Dream of Electric Sheep? (Kindle Edition)
151,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)"
152,Stranger in a Strange Land (Paperback)
153,"Ender's Shadow (The Shadow Series, #1)"
154,The Three-Body Problem (Remembrance of Earth’s Past #1)
155,"Catching Fire (The Hunger Games, #2)"
156,The Martian Chronicles (Mass Market Paperback)
157,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)"
158,"Ender's Game (Ender's Saga, #1)"
159,"Hyperion (Hyperion Cantos, #1)"
160,Foundation (Foundation #1)
161,"Dune (Dune Chronicles, #1)"
162,"Cress (The Lunar Chronicles, #3)"
163,Dark Matter (Hardcover)
164,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
165,"The Hunger Games (The Hunger Games, #1)"
166,Brave New World (Paperback)
167,"2001: A Space Odyssey (Space Odyssey, #1)"
168,Fahrenheit 451 (Kindle Edition)
169,"Mockingjay (The Hunger Games, #3)"
170,The Martian (Hardcover)
171,"The Host (The Host, #1)"
172,"Neuromancer (Sprawl, #1)"
173,"Leviathan Wakes (The Expanse, #1)"
174,Snow Crash (Kindle Edition)
175,"Illuminae (The Illuminae Files, #1)"
176,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)"
177,"Divergent (Divergent, #1)"
178,The War of the Worlds (Paperback)
179,"Speaker for the Dead (Ender's Saga, #2)"
180,1984 (Kindle Edition)
181,Starship Troopers (Mass Market Paperback)
182,"The 5th Wave (The 5th Wave, #1)"
183,The Handmaid's Tale (Paperback)
184,"Jurassic Park (Jurassic Park, #1)"
185,Slaughterhouse-Five (Paperback)
186,"A Wrinkle in Time (Time Quintet, #1)"
187,Foundation and Empire (Foundation #2)
188,"The Maze Runner (The Maze Runner, #1)"
189,"Xenocide (Ender's Saga, #3)"
190,"Cinder (The Lunar Chronicles, #1)"
191,"Red Rising (Red Rising, #1)"
192,"The Forever War (The Forever War, #1)"
193,Artemis (Hardcover)
194,"I, Robot (Robot, #0.1)"
195,The Time Machine (Paperback)
196,"Old Man's War (Old Man's War, #1)"
197,"Scarlet (The Lunar Chronicles, #2)"
198,"Ready Player One (Ready Player One, #1)"
199,The Left Hand of Darkness (Hainish Cycle #4)
200,Do Androids Dream of Electric Sheep? (Kindle Edition)
201,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)"
202,Stranger in a Strange Land (Paperback)
203,"Ender's Shadow (The Shadow Series, #1)"
204,The Three-Body Problem (Remembrance of Earth’s Past #1)
205,"Catching Fire (The Hunger Games, #2)"
206,The Martian Chronicles (Mass Market Paperback)
207,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)"
208,"Ender's Game (Ender's Saga, #1)"
209,"Hyperion (Hyperion Cantos, #1)"
210,Foundation (Foundation #1)
211,"Dune (Dune Chronicles, #1)"
212,"Cress (The Lunar Chronicles, #3)"
213,Dark Matter (Hardcover)
214,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
215,"The Hunger Games (The Hunger Games, #1)"
216,Brave New World (Paperback)
217,"2001: A Space Odyssey (Space Odyssey, #1)"
218,Fahrenheit 451 (Kindle Edition)
219,"Mockingjay (The Hunger Games, #3)"
220,The Martian (Hardcover)
221,"The Host (The Host, #1)"
222,"Neuromancer (Sprawl, #1)"
223,"Leviathan Wakes (The Expanse, #1)"
224,Snow Crash (Kindle Edition)
225,"Illuminae (The Illuminae Files, #1)"
226,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)"
227,"Divergent (Divergent, #1)"
228,The War of the Worlds (Paperback)
229,"Speaker for the Dead (Ender's Saga, #2)"
230,1984 (Kindle Edition)
231,Starship Troopers (Mass Market Paperback)
232,"The 5th Wave (The 5th Wave, #1)"
233,The Handmaid's Tale (Paperback)
234,"Jurassic Park (Jurassic Park, #1)"
235,Slaughterhouse-Five (Paperback)
236,"A Wrinkle in Time (Time Quintet, #1)"
237,Foundation and Empire (Foundation #2)
238,"The Maze Runner (The Maze Runner, #1)"
239,"Xenocide (Ender's Saga, #3)"
240,"Cinder (The Lunar Chronicles, #1)"
241,"Red Rising (Red Rising, #1)"
242,"The Forever War (The Forever War, #1)"
243,Artemis (Hardcover)
244,"I, Robot (Robot, #0.1)"
245,The Time Machine (Paperback)
246,"Old Man's War (Old Man's War, #1)"
247,"Scarlet (The Lunar Chronicles, #2)"
